Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS
CIFAR10,ViT,Head,100,TD,8,2,0.000495819604315455,7.435,606
CIFAR10,ViT,Head,100,TD,8,2,0.0013759768964261786,3.522,263
CIFAR10,ViT,Head,100,TD,8,2,0.0022781419194259074,1.831,436
CIFAR10,ViT,Head,100,TD,8,2,0.0009988176104492204,1.695,485
CIFAR10,ViT,Head,100,TD,8,2,0.002836878351272328,3.322,1000
CIFAR10,ViT,Head,100,TD,8,2,0.0011822525937749935,4.929,483
CIFAR10,ViT,Head,100,TD,8,2,0.004474425977952324,3.057,837
CIFAR10,ViT,Head,100,TD,8,2,0.002136367216449842,9.875,710
CIFAR10,ViT,Head,100,TD,8,2,0.002240258103913682,2.036,709
CIFAR10,ViT,Head,100,TD,8,2,0.002639885392206673,3.17,802
CIFAR10,ViT,Head,100,TD,8,2,0.0012176395867480021,5.517,327
CIFAR10,ViT,Head,100,TD,8,2,0.003246405210438417,0.905,940
CIFAR10,ViT,Head,100,TD,8,2,0.0014401589740130612,0.2,189
